Year,service_id,total_services,total_beneficiaries,total_allowed,total_payment,allowed_per_service,rowid
2022,SERVICE_1120,211468.0,74306.0,5288951.49999911,5288951.49999911,25.0106470009605,228
2022,SERVICE_1121,34353.0,33832.0,5939060.01000099,4649326.11000165,172.883300148487,229
2022,SERVICE_1122,22988.0,21997.0,5387900.15000094,4256658.16000742,234.378812858924,230
2022,SERVICE_1123,36915.0,35675.0,5502713.85000236,4342515.53999987,149.064441284095,231
2022,SERVICE_1124,1116015.0,730.0,3558601.62999761,2836622.37999488,3.18866827954607,232
2022,SERVICE_1125,24897.0,17361.0,5735319.24000804,4262895.12999706,230.361860465439,233
2022,SERVICE_1126,232354.0,135186.0,4800905.070003,4800905.070003,20.6620289300077,234
2022,SERVICE_1127,21899.0,21820.0,3998714.50998638,3998714.50998638,182.598041462459,235
2022,SERVICE_1128,74513.0,17534.0,5385492.6200011,4117833.7300019,72.2758796451774,236
2022,SERVICE_1129,74037.0,24645.0,6375133.06001187,5053928.98001053,86.1073930603869,237
2022,SERVICE_113,243674.0,151458.0,164184614.280025,130038684.790014,673.787988378018,238
2022,SERVICE_1130,286036.0,196289.0,4594449.66000703,4594449.66000703,16.0624874491568,239
2022,SERVICE_1131,94414.0,92443.0,5343154.52000039,4240056.63000074,56.5928201326116,240
2022,SERVICE_1132,38554.0,2821.0,4484439.24996512,3558489.32999302,116.31579732233,241
2022,SERVICE_1133,2245.0,2232.0,5304790.390004,4238872.23998941,2362.93558574788,242
2022,SERVICE_1134,53451.0,52201.0,5350877.15000024,4066559.67000062,100.108083104156,243
2022,SERVICE_1135,106301.0,72135.0,5400715.92999818,4239045.57000042,50.8058807536917,244
2022,SERVICE_1136,20292.0,19654.0,5231898.45000087,4101245.7400005,257.830595801344,245
2022,SERVICE_1137,84908.0,84105.0,5184722.10999999,5184722.10999999,61.0628222311206,246
2022,SERVICE_1138,22375.0,15339.0,995228.069999322,995228.069999322,44.4794668156122,247
2022,SERVICE_1139,590979.0,63209.0,5302049.42000104,3717874.30000014,8.97163760472207,248
2022,SERVICE_114,2616389.0,2307484.0,161757728.759992,113133657.84,61.8248008075221,249
2022,SERVICE_1140,141058.0,102150.0,4872449.96999756,4872449.96999756,34.5421739284377,250
2022,SERVICE_1141,151135.0,68363.0,5289846.13999902,4119927.08999835,35.0008015350449,251
2022,SERVICE_1142,31344.0,31194.0,5433301.22000208,4301099.56999887,173.344219627427,252
2022,SERVICE_1143,30091.0,28967.0,5342773.47000668,4185372.72000188,177.553868931132,253
2022,SERVICE_1144,68900.0,23182.0,5558091.62000555,4190771.61000038,80.6689640058861,254
2022,SERVICE_1145,4397.0,4236.0,4807349.93999863,3805212.09000309,1093.32498066833,255
2022,SERVICE_1146,1026.0,62.0,385230.66000319,306931.78000087,375.468479535273,256
2022,SERVICE_1147,378478.0,322328.0,5104490.56000299,3841461.86000245,13.4868884320964,257
2022,SERVICE_1148,1718.0,1718.0,5071400.0499306,5071400.0499306,2951.92086724715,258
2022,SERVICE_1149,12376.0,9984.0,4764086.95999783,3754282.94999838,384.945617323677,259
2022,SERVICE_115,2322020.0,2217371.0,160368597.770007,119242826.449988,69.0642620520095,260
2022,SERVICE_1150,29823.0,73.0,4796904.37992661,3828333.1099613,160.845802901338,261
2022,SERVICE_1151,108669.0,102980.0,5102068.44000879,5102068.44000879,46.9505419209599,262
2022,SERVICE_1152,4339.0,4045.0,5880138.77000594,4687763.08999808,1355.18293846645,263
2022,SERVICE_1153,32951.0,3460.0,4355853.8799746,3465265.61999371,132.191856999017,264
2022,SERVICE_1154,52009.0,45400.0,4783822.86000685,3681697.32000099,91.9806737296785,265
2022,SERVICE_1155,178524.0,142945.0,5168629.97000733,3998523.70999459,28.9520174878858,266
2022,SERVICE_1156,29660.0,361.0,6055940.9300188,4826616.0400076,204.178723196858,267
2022,SERVICE_1157,5480.0,5461.0,3459554.88999923,3459554.88999923,631.305636861173,268
2022,SERVICE_1158,19873.0,19645.0,4570313.82000295,3604559.76000212,229.976038846825,269
2022,SERVICE_1159,6708.0,6685.0,4503561.1599989,4503561.1599989,671.371669648017,270
2022,SERVICE_116,4429999.7,64932.0,153808661.179811,122724912.669882,34.7197904279342,271
2022,SERVICE_1160,54774.0,1396.0,5046832.65000795,4027146.59000184,92.1392019937917,272
2022,SERVICE_1161,47959.0,41669.0,4797005.00999642,3718456.31999973,100.023040722209,273
2022,SERVICE_1162,43922.0,1016.0,2223187.13998873,1762842.26001398,50.6167100766981,274
