Year,geo_name,geo_code,benes_total_cnt,total_std_payment_per_capita,total_payment_per_capita,rowid
2014,WA,53,1206057.0,7386.45,8240.41,151
2014,WA,53,182360.0,7831.28,8688.21,152
2014,WA,53,1023697.0,7299.97,8153.35,153
2014,WI,55,1075232.0,7950.25,8344.66,154
2014,WI,55,165329.0,8565.64,8941.7,155
2014,WI,55,909903.0,7814.58,8213.04,156
2014,WV,54,430942.0,8528.56,8419.58,157
2014,WV,54,98073.0,8140.73,8076.2,158
2014,WV,54,332869.0,8660.79,8536.66,159
2014,WY,56,96812.0,7152.17,7971.9,160
2014,WY,56,13192.0,8207.82,8997.42,161
2014,WY,56,83620.0,6989.45,7813.83,162
2014,ZZ,,0.0,0.0,0.0,163
2014,ZZ,,0.0,0.0,0.0,164
2014,ZZ,,0.0,0.0,0.0,165
2015,AK,02,88678.0,6758.31,8773.75,166
2015,AK,02,13372.0,8508.59,10932.67,167
2015,AK,02,75306.0,6435.31,8375.34,168
2015,AL,01,1015982.0,9786.82,8914.19,169
2015,AL,01,239926.0,9731.09,8895.43,170
2015,AL,01,776056.0,9802.36,8919.42,171
2015,AR,05,624866.0,9113.49,8518.64,172
2015,AR,05,142696.0,8644.91,8162.55,173
2015,AR,05,482170.0,9236.25,8611.93,174
2015,AZ,04,1192191.0,8595.79,9053.62,175
2015,AZ,04,162680.0,10347.64,10985.27,176
2015,AZ,04,1029511.0,8395.75,8833.06,177
2015,CA,06,5939098.0,8956.63,11117.9,178
2015,CA,06,758962.0,10463.35,13110.32,179
2015,CA,06,5180136.0,8674.27,10744.51,180
2015,CO,08,826793.0,8072.09,8447.13,181
2015,CO,08,109185.0,9287.44,9788.01,182
2015,CO,08,717608.0,7848.73,8200.7,183
2015,CT,09,661709.0,9684.82,11506.01,184
2015,CT,09,86689.0,10623.62,12540.18,185
2015,CT,09,575020.0,9525.03,11329.99,186
2015,DC,11,92585.0,9881.52,11678.4,187
2015,DC,11,16018.0,13061.22,15653.11,188
2015,DC,11,76567.0,9028.7,10612.35,189
2015,DE,10,189247.0,9414.29,10174.36,190
2015,DE,10,28424.0,11215.45,12069.5,191
2015,DE,10,160823.0,9113.34,9857.7,192
2015,FL,12,4224788.0,11078.29,11033.64,193
2015,FL,12,574427.0,12451.91,12545.97,194
2015,FL,12,3650361.0,10872.21,10806.76,195
2015,GA,13,1602402.0,9606.04,9342.39,196
2015,GA,13,298291.0,11382.44,11093.76,197
2015,GA,13,1304111.0,9187.8,8930.03,198
2015,HI,15,257417.0,6265.55,7583.08,199
2015,HI,15,25120.0,9931.76,11933.89,200
2015,HI,15,232297.0,5816.5,7050.18,201
2015,IA,19,601118.0,8187.82,8330.4,202
2015,IA,19,80694.0,9071.19,9241.84,203
2015,IA,19,520424.0,8047.98,8186.11,204
2015,ID,16,295917.0,7946.34,7995.51,205
2015,ID,16,44943.0,8724.39,8660.27,206
2015,ID,16,250974.0,7790.31,7862.2,207
2015,IL,17,2173039.0,9739.27,10182.34,208
2015,IL,17,310032.0,11089.0,11707.31,209
2015,IL,17,1863007.0,9516.72,9930.9,210
2015,IN,18,1210639.0,9672.35,9661.67,211
2015,IN,18,214338.0,10505.71,10550.16,212
2015,IN,18,996301.0,9483.03,9459.82,213
2015,KS,20,512903.0,9357.49,9074.01,214
2015,KS,20,76791.0,10227.24,9871.61,215
2015,KS,20,436112.0,9201.07,8930.56,216
2015,KY,21,905246.0,9425.76,9098.84,217
2015,KY,21,213829.0,9064.0,8842.82,218
2015,KY,21,691417.0,9550.36,9187.02,219
2015,LA,22,830835.0,11265.53,10656.21,220
2015,LA,22,173299.0,11937.76,11515.91,221
2015,LA,22,657536.0,11068.88,10404.73,222
2015,MA,25,1278414.0,9325.27,11188.72,223
2015,MA,25,216757.0,9317.83,11232.83,224
2015,MA,25,1061657.0,9327.03,11178.23,225
2015,MD,24,980228.0,9526.76,11582.94,226
2015,MD,24,136728.0,11991.56,15032.27,227
2015,MD,24,843500.0,9114.52,11006.04,228
2015,ME,23,321446.0,8214.41,8597.99,229
2015,ME,23,61760.0,8055.47,8384.22,230
2015,ME,23,259686.0,8261.25,8660.99,231
2015,MI,26,1991003.0,10011.31,10425.35,232
2015,MI,26,368052.0,10218.05,10628.98,233
2015,MI,26,1622951.0,9957.39,10372.24,234
2015,MN,27,959696.0,8322.99,9133.73,235
2015,MN,27,131967.0,9022.43,9900.6,236
2015,MN,27,827729.0,8073.52,8860.21,237
2015,MO,29,1193386.0,9447.99,9271.97,238
2015,MO,29,225641.0,10420.86,10343.56,239
2015,MO,29,967745.0,9204.08,9003.33,240
2015,MS,28,586938.0,10633.4,9874.25,241
2015,MS,28,137329.0,10930.66,10308.89,242
2015,MS,28,449609.0,10543.41,9742.69,243
2015,MT,30,211460.0,7251.19,7595.59,244
2015,MT,30,29546.0,7738.27,8083.41,245
2015,MT,30,181914.0,7171.04,7515.32,246
2015,NC,37,1858180.0,9048.27,9043.09,247
2015,NC,37,338919.0,10256.57,10333.96,248
2015,NC,37,1519261.0,8750.98,8725.47,249
2015,ND,38,124193.0,8173.37,8328.37,250
2015,ND,38,14960.0,9220.9,9241.12,251
2015,ND,38,109233.0,8017.68,8192.7,252
2015,NE,31,330288.0,8941.52,9139.48,253
2015,NE,31,44582.0,9828.1,9980.27,254
2015,NE,31,285706.0,8811.51,9016.18,255
2015,NH,33,277055.0,8012.94,8870.05,256
2015,NH,33,48915.0,8015.8,8891.5,257
2015,NH,33,228140.0,8012.36,8865.65,258
2015,NJ,34,1569133.0,10084.51,11672.67,259
2015,NJ,34,208577.0,11085.0,12869.78,260
2015,NJ,34,1360556.0,9929.39,11487.07,261
2015,NM,35,390962.0,7501.07,7868.94,262
2015,NM,35,67358.0,8018.04,8465.26,263
2015,NM,35,323604.0,7382.86,7732.58,264
2015,NV,32,477218.0,9253.09,10183.94,265
2015,NV,32,66563.0,11619.78,12763.88,266
2015,NV,32,410655.0,8830.45,9723.22,267
2015,NY,36,3509368.0,9494.81,11449.08,268
2015,NY,36,543169.0,9624.64,11434.14,269
2015,NY,36,2966199.0,9466.95,11452.28,270
2015,OH,39,2266485.0,9692.87,9698.14,271
2015,OH,39,376203.0,10135.92,10229.38,272
2015,OH,39,1890282.0,9587.56,9571.86,273
2015,OK,40,714649.0,10103.12,9621.01,274
2015,OK,40,132687.0,10852.6,10438.75,275
2015,OK,40,581962.0,9932.19,9434.51,276
2015,OR,41,793206.0,7222.37,8067.03,277
2015,OR,41,112228.0,7934.76,8848.41,278
2015,OR,41,680978.0,7074.1,7904.4,279
2015,PA,42,2661938.0,9755.77,10233.86,280
2015,PA,42,426731.0,10080.68,10773.65,281
2015,PA,42,2235207.0,9686.25,10118.36,282
2015,PR,72,765207.0,6796.46,5541.22,283
2015,PR,72,184390.0,11083.59,8903.84,284
2015,PR,72,580817.0,5872.75,4816.69,285
2015,RI,44,213357.0,9067.78,10332.37,286
2015,RI,44,38180.0,8915.35,10315.38,287
2015,RI,44,175177.0,9112.57,10337.37,288
2015,SC,45,987819.0,9069.49,8826.64,289
2015,SC,45,182532.0,10276.62,10042.8,290
2015,SC,45,805287.0,8830.79,8586.15,291
2015,SD,46,164087.0,8067.75,8373.78,292
2015,SD,46,19973.0,9531.34,9873.73,293
2015,SD,46,144114.0,7846.07,8146.6,294
2015,TN,47,1298123.0,9735.87,9077.7,295
2015,TN,47,261932.0,10584.26,9925.65,296
2015,TN,47,1036191.0,9543.68,8885.61,297
2015,TX,48,3829645.0,11077.63,10955.09,298
2015,TX,48,606476.0,13435.67,13394.6,299
2015,TX,48,3223169.0,10643.8,10506.28,300
2015,Territory,,0.0,0.0,0.0,301
2015,Territory,,0.0,0.0,0.0,302
2015,Territory,,0.0,0.0,0.0,303
2015,UT,49,363569.0,8537.24,8557.33,304
2015,UT,49,51392.0,9299.0,9184.57,305
2015,UT,49,312177.0,8415.95,8457.46,306
2015,VA,51,1418401.0,8655.39,8734.13,307
2015,VA,51,218389.0,10323.89,10353.08,308
2015,VA,51,1200012.0,8397.41,8483.81,309
2015,VI,,20013.0,4841.36,4984.78,310
2015,VI,,1898.0,6339.99,6952.43,311
2015,VI,,18115.0,4691.32,4787.78,312
2015,VT,50,137870.0,7391.22,8416.79,313
2015,VT,50,23034.0,7508.3,8525.03,314
2015,VT,50,114836.0,7366.34,8393.8,315
2015,WA,53,1252610.0,7619.39,8449.59,316
2015,WA,53,184401.0,7963.0,8787.51,317
2015,WA,53,1068209.0,7554.81,8386.08,318
2015,WI,55,1103412.0,8238.42,8585.45,319
2015,WI,55,167244.0,8864.11,9178.98,320
2015,WI,55,936168.0,8099.24,8453.43,321
2015,WV,54,436477.0,8916.66,8719.57,322
2015,WV,54,96482.0,8449.46,8298.92,323
2015,WV,54,339995.0,9069.61,8857.28,324
2015,WY,56,100001.0,7565.03,8406.58,325
2015,WY,56,13333.0,8702.92,9519.8,326
2015,WY,56,86668.0,7393.56,8238.82,327
2015,ZZ,,0.0,0.0,0.0,328
2015,ZZ,,0.0,0.0,0.0,329
2015,ZZ,,0.0,0.0,0.0,330
2016,AK,02,92923.0,6846.57,9209.86,331
2016,AK,02,13391.0,9067.85,12095.23,332
2016,AK,02,79532.0,6457.88,8704.97,333
2016,AL,01,1035191.0,9888.06,9015.9,334
2016,AL,01,238045.0,9986.18,9088.34,335
2016,AL,01,797146.0,9861.64,8996.39,336
2016,AR,05,634739.0,9304.23,8666.28,337
2016,AR,05,142267.0,9021.82,8440.72,338
2016,AR,05,492472.0,9376.13,8723.71,339
2016,AZ,04,1235820.0,8692.03,9196.92,340
2016,AZ,04,161667.0,10687.83,11365.09,341
2016,AZ,04,1074153.0,8478.35,8964.79,342
2016,CA,06,6095984.0,9163.91,11481.52,343
2016,CA,06,745269.0,10808.98,13684.8,344
2016,CA,06,5350715.0,8863.82,11079.59,345
2016,CO,08,857579.0,8158.13,8556.63,346
2016,CO,08,108417.0,9572.99,10105.35,347
2016,CO,08,749162.0,7910.47,8285.54,348
2016,CT,09,672511.0,9733.02,11621.37,349
2016,CT,09,86199.0,10956.02,12988.46,350
2016,CT,09,586312.0,9530.02,11394.46,351
2016,DC,11,94123.0,10079.3,11864.13,352
2016,DC,11,15941.0,13382.23,16033.76,353
2016,DC,11,78182.0,9235.87,10799.39,354
2016,DE,10,195642.0,9449.39,10288.22,355
2016,DE,10,28394.0,11609.32,12583.34,356
2016,DE,10,167248.0,9099.43,9916.36,357
2016,FL,12,4355007.0,11040.65,11015.13,358
2016,FL,12,574978.0,12637.84,12691.31,359
2016,FL,12,3780029.0,10813.84,10777.11,360
2016,GA,13,1651904.0,9639.43,9398.68,361
2016,GA,13,297755.0,11548.41,11256.25,362
2016,GA,13,1354149.0,9209.72,8980.55,363
2016,HI,15,264207.0,6441.13,7743.52,364
2016,HI,15,24674.0,10942.23,13083.02,365
2016,HI,15,239533.0,5920.09,7125.43,366
2016,IA,19,614453.0,8184.74,8300.79,367
2016,IA,19,80916.0,9264.64,9385.63,368
2016,IA,19,533537.0,8013.54,8128.8,369
2016,ID,16,308167.0,8013.91,8058.18,370
2016,ID,16,45342.0,8829.89,8748.18,371
2016,ID,16,262825.0,7857.49,7925.91,372
2016,IL,17,2212951.0,9894.28,10375.32,373
2016,IL,17,306714.0,11546.68,12152.69,374
2016,IL,17,1906237.0,9621.69,10082.11,375
2016,IN,18,1237603.0,9692.45,9666.27,376
2016,IN,18,214379.0,10616.01,10593.29,377
2016,IN,18,1023224.0,9487.98,9461.04,378
2016,KS,20,523621.0,9438.49,9124.55,379
2016,KS,20,76116.0,10470.52,10042.9,380
2016,KS,20,447505.0,9259.36,8965.15,381
2016,KY,21,922288.0,9470.02,9165.73,382
2016,KY,21,211296.0,9057.49,8833.02,383
2016,KY,21,710992.0,9605.29,9274.83,384
2016,LA,22,851190.0,11399.54,10742.29,385
2016,LA,22,172725.0,12330.48,11792.14,386
2016,LA,22,678465.0,11141.71,10451.53,387
2016,MA,25,1304985.0,9411.32,11283.25,388
2016,MA,25,216146.0,9654.81,11619.2,389
2016,MA,25,1088839.0,9353.24,11203.1,390
2016,MD,24,1006621.0,9559.97,11549.6,391
2016,MD,24,136868.0,12124.59,15032.77,392
2016,MD,24,869753.0,9141.69,10981.51,393
2016,ME,23,328711.0,8390.1,8741.46,394
2016,ME,23,61303.0,8400.25,8641.44,395
2016,ME,23,267408.0,8387.16,8770.44,396
2016,MI,26,2033388.0,9996.65,10446.77,397
2016,MI,26,365396.0,10434.3,10849.07,398
2016,MI,26,1667992.0,9885.32,10344.44,399
2016,MN,27,986969.0,8451.51,9258.47,400
2016,MN,27,131037.0,9331.73,10228.77,401
2016,MN,27,855932.0,8134.29,8908.78,402
2016,MO,29,1216431.0,9520.99,9318.05,403
2016,MO,29,224192.0,10741.18,10587.35,404
2016,MO,29,992239.0,9226.14,9011.33,405
2016,MS,28,597070.0,10704.58,9908.12,406
2016,MS,28,135690.0,11308.69,10599.51,407
2016,MS,28,461380.0,10529.81,9708.1,408
2016,MT,30,218696.0,7395.9,7773.61,409
2016,MT,30,29391.0,7991.87,8352.69,410
2016,MT,30,189305.0,7301.25,7681.65,411
2016,NC,37,1909894.0,9064.94,9100.68,412
2016,NC,37,336340.0,10340.34,10434.13,413
2016,NC,37,1573554.0,8766.0,8788.12,414
2016,ND,38,127083.0,8319.36,8532.38,415
2016,ND,38,14877.0,9366.03,9454.73,416
2016,ND,38,112206.0,8164.66,8396.05,417
2016,NE,31,338038.0,9025.09,9129.28,418
2016,NE,31,44316.0,10166.36,10136.42,419
2016,NE,31,293722.0,8864.58,8987.65,420
2016,NH,33,285643.0,8176.62,8997.68,421
2016,NH,33,49242.0,8443.66,9267.5,422
2016,NH,33,236401.0,8123.21,8943.71,423
2016,NJ,34,1597276.0,10185.05,11874.7,424
2016,NJ,34,207630.0,11457.36,13409.32,425
2016,NJ,34,1389646.0,9994.93,11645.38,426
2016,NM,35,403105.0,7711.43,8027.86,427
2016,NM,35,67185.0,8638.65,9005.99,428
2016,NM,35,335920.0,7512.12,7817.6,429
2016,NV,32,496161.0,9346.52,10325.39,430
2016,NV,32,67143.0,11781.9,13001.24,431
2016,NV,32,429018.0,8928.42,9866.02,432
2016,NY,36,3570148.0,9670.62,11761.66,433
2016,NY,36,537144.0,10041.58,12001.95,434
2016,NY,36,3033004.0,9594.98,11712.66,435
2016,OH,39,2312888.0,9732.6,9776.56,436
2016,OH,39,375668.0,10493.74,10576.91,437
2016,OH,39,1937220.0,9574.43,9610.24,438
2016,OK,40,727451.0,10277.87,9765.54,439
2016,OK,40,131411.0,10934.69,10457.73,440
2016,OK,40,596040.0,10132.84,9612.69,441
2016,OR,41,820501.0,7281.85,8208.82,442
2016,OR,41,112342.0,8155.17,9177.84,443
2016,OR,41,708159.0,7106.99,8014.79,444
2016,PA,42,2707567.0,9714.22,10222.63,445
2016,PA,42,423421.0,10300.17,11023.32,446
2016,PA,42,2284146.0,9594.76,10059.39,447
2016,PR,72,771489.0,6831.11,5614.53,448
2016,PR,72,177834.0,11382.7,9109.22,449
2016,PR,72,593655.0,5898.1,4898.16,450
2016,RI,44,217264.0,8907.4,10175.91,451
2016,RI,44,38194.0,8674.85,10053.73,452
2016,RI,44,179070.0,8965.99,10206.69,453
2016,SC,45,1019854.0,9014.31,8776.22,454
2016,SC,45,181011.0,10432.96,10136.72,455
2016,SC,45,838843.0,8745.14,8518.08,456
2016,SD,46,168903.0,8159.05,8492.89,457
2016,SD,46,19993.0,10078.93,10537.66,458
2016,SD,46,148910.0,7870.61,8185.68,459
2016,TN,47,1327502.0,9749.3,9124.47,460
2016,TN,47,259467.0,10788.56,10094.97,461
2016,TN,47,1068035.0,9529.89,8919.58,462
2016,TX,48,3950816.0,11214.42,11081.25,463
2016,TX,48,603849.0,13903.18,13818.18,464
2016,TX,48,3346967.0,10742.85,10601.23,465
2016,Territory,,0.0,0.0,0.0,466
2016,Territory,,0.0,0.0,0.0,467
2016,Territory,,0.0,0.0,0.0,468
2016,UT,49,376643.0,8558.37,8635.5,469
2016,UT,49,51276.0,9711.9,9613.87,470
2016,UT,49,325367.0,8384.27,8487.84,471
2016,VA,51,1456665.0,8760.89,8879.26,472
2016,VA,51,217128.0,10622.55,10680.25,473
2016,VA,51,1239537.0,8486.91,8614.21,474
2016,VI,,20459.0,4713.54,5192.61,475
2016,VI,,1845.0,6030.31,6571.43,476
2016,VI,,18614.0,4588.59,5061.78,477
2016,VT,50,141832.0,7540.94,8540.27,478
2016,VT,50,23081.0,7806.99,8767.56,479
2016,VT,50,118751.0,7486.18,8493.48,480
2016,WA,53,1296345.0,7680.17,8602.3,481
2016,WA,53,184445.0,8073.4,8978.08,482
2016,WA,53,1111900.0,7609.36,8534.63,483
2016,WI,55,1133665.0,8247.74,8560.36,484
2016,WI,55,167528.0,9242.71,9483.88,485
2016,WI,55,966137.0,8033.97,8361.94,486
2016,WV,54,441957.0,9070.55,8881.45,487
2016,WV,54,94471.0,8883.75,8695.23,488
2016,WV,54,347486.0,9129.2,8939.91,489
2016,WY,56,103425.0,7680.36,8542.13,490
2016,WY,56,13339.0,9182.69,10057.89,491
2016,WY,56,90086.0,7462.28,8322.1,492
2016,ZZ,,0.0,0.0,0.0,493
2016,ZZ,,0.0,0.0,0.0,494
2016,ZZ,,0.0,0.0,0.0,495
2017,AK,02,96894.0,7056.99,9552.73,496
2017,AK,02,13207.0,9558.41,12861.86,497
2017,AK,02,83687.0,6643.71,9006.01,498
2017,AL,01,1052701.0,10395.08,9454.96,499
2017,AL,01,235154.0,10190.18,9269.14,500
2017,AL,01,817547.0,10454.87,9509.18,501
2017,AR,05,643893.0,9666.04,8994.13,502
2017,AR,05,141163.0,9355.52,8734.09,503
2017,AR,05,502730.0,9741.28,9057.14,504
2017,AZ,04,1280345.0,8925.76,9540.85,505
2017,AZ,04,160825.0,10836.81,11637.86,506
2017,AZ,04,1119520.0,8734.83,9331.33,507
2017,CA,06,6245841.0,9429.77,11850.97,508
2017,CA,06,727353.0,11279.95,14311.4,509
2017,CA,06,5518488.0,9108.5,11423.73,510
2017,CO,08,888933.0,8415.9,8896.53,511
2017,CO,08,106882.0,10008.91,10599.41,512
2017,CO,08,782051.0,8154.8,8617.42,513
2017,CT,09,685365.0,9963.87,11898.21,514
2017,CT,09,85669.0,11296.29,13360.17,515
2017,CT,09,599696.0,9749.63,11663.14,516
2017,DC,11,95415.0,10295.79,12118.82,517
2017,DC,11,15753.0,14000.88,16829.14,518
2017,DC,11,79662.0,9415.79,11000.06,519
2017,DE,10,202288.0,9506.17,10415.43,520
2017,DE,10,28188.0,11511.34,12528.31,521
2017,DE,10,174100.0,9204.67,10097.74,522
2017,FL,12,4482799.0,11186.14,11166.23,523
2017,FL,12,572528.0,12939.22,13013.38,524
2017,FL,12,3910271.0,10952.04,10919.56,525
2017,GA,13,1700783.0,9919.99,9699.55,526
2017,GA,13,296894.0,11988.33,11683.92,527
2017,GA,13,1403889.0,9474.72,9272.36,528
2017,HI,15,271605.0,6675.06,7996.35,529
2017,HI,15,24311.0,11163.91,13198.55,530
2017,HI,15,247294.0,6184.09,7427.37,531
2017,IA,19,627084.0,8506.05,8622.96,532
2017,IA,19,80660.0,9661.39,9736.17,533
2017,IA,19,546424.0,8330.29,8453.61,534
2017,ID,16,320592.0,8156.96,8206.4,535
2017,ID,16,45388.0,8936.32,8869.0,536
2017,ID,16,275204.0,8014.25,8085.06,537
2017,IL,17,2252496.0,10118.76,10645.58,538
2017,IL,17,302773.0,11812.36,12459.79,539
2017,IL,17,1949723.0,9846.89,10354.34,540
2017,IN,18,1262908.0,9841.4,9864.74,541
2017,IN,18,212785.0,10836.29,10901.3,542
2017,IN,18,1050123.0,9630.55,9645.06,543
2017,KS,20,535130.0,9777.67,9467.88,544
2017,KS,20,75539.0,10823.8,10411.64,545
2017,KS,20,459591.0,9606.49,9313.44,546
2017,KY,21,936714.0,9811.0,9544.62,547
2017,KY,21,208235.0,9540.99,9333.18,548
2017,KY,21,728479.0,9894.88,9610.3,549
2017,LA,22,868977.0,11539.09,10914.25,550
