Year,geo_name,geo_code,benes_total_cnt,total_std_payment_per_capita,total_payment_per_capita,er_visits_per_1000,ip_stays_per_1000,op_visits_per_1000,bene_avg_age,bene_dual_pct,bene_avg_risk_score,rowid
2023,RI,44,248622.0,11224.29,12470.47,564.1171,229.5931,5659.7425,74.0,0.1167,0.98,121
2023,RI,44,32251.0,9208.02,9940.78,739.5736,225.1576,4474.8558,51.0,0.5076,0.97,122
2023,RI,44,216371.0,11444.06,12746.21,544.9921,230.0766,5788.8967,76.0,0.0741,0.98,123
2023,SC,45,1249321.0,11477.82,11426.32,559.779,201.2073,3743.0557,73.0,0.0669,0.92,124
2023,SC,45,157846.0,12242.56,12060.01,946.1901,251.2693,3762.331,51.0,0.4827,1.2,125
2023,SC,45,1091475.0,11410.62,11370.63,525.8217,196.808,3741.3619,75.0,0.0304,0.9,126
2023,SD,46,202604.0,10700.05,11062.46,469.4854,195.4276,8432.5704,72.0,0.1215,0.87,127
2023,SD,46,17979.0,12258.83,12659.76,780.9609,261.6134,8536.6557,50.0,0.6243,1.11,128
2023,SD,46,184625.0,10550.73,10909.44,439.647,189.0872,8422.5994,75.0,0.0734,0.85,129
2023,TN,47,1522963.0,11776.76,11332.64,538.0071,219.6106,3245.1518,73.0,0.1053,0.97,130
2023,TN,47,218599.0,11945.91,11372.84,832.7453,263.9276,3190.7702,52.0,0.5097,1.18,131
2023,TN,47,1304364.0,11759.55,11328.55,508.0194,215.1016,3250.6847,75.0,0.0642,0.95,132
2023,TX,48,4860770.0,13287.86,13585.32,580.3558,224.8249,3781.865,73.0,0.1075,1.01,133
2023,TX,48,526633.0,15197.56,15682.75,947.5472,295.4327,3889.0631,50.0,0.4652,1.39,134
2023,TX,48,4334137.0,13111.64,13391.77,546.4715,218.3093,3771.9728,75.0,0.0745,0.97,135
2023,Territory,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
2023,Territory,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137
2023,Territory,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138
2023,UT,49,472847.0,11400.18,11705.58,521.1093,166.9223,4559.74,73.0,0.0876,0.99,139
2023,UT,49,46031.0,11297.52,11485.58,822.7816,214.0105,4339.9255,49.0,0.5446,1.17,140
2023,UT,49,426816.0,11409.54,11725.63,493.6156,162.6308,4579.7734,75.0,0.0459,0.97,141
2023,VA,51,1722838.0,10773.64,11137.54,584.6149,204.5845,4340.0709,74.0,0.0872,0.95,142
2023,VA,51,189837.0,11294.01,11507.87,974.2556,257.8614,4257.2351,51.0,0.5171,1.16,143
2023,VA,51,1533001.0,10734.76,11109.87,555.5006,200.6036,4346.2604,76.0,0.0551,0.93,144
2023,VI,,21608.0,5935.1,6673.96,442.8208,131.6709,1448.3799,73.0,0.0,0.72,145
2023,VI,,1389.0,7266.56,7798.3,634.5227,173.5776,1565.0916,53.0,0.0,0.99,146
2023,VI,,20219.0,5815.61,6573.05,425.6166,127.91,1437.9057,75.0,0.0,0.7,147
2023,VT,50,169047.0,9314.45,11116.15,657.1961,180.5853,8168.2715,72.0,0.2192,0.82,148
2023,VT,50,20154.0,9844.8,11539.3,1050.4151,202.4834,7665.1208,49.0,0.699,0.86,149
2023,VT,50,148893.0,9233.49,11051.55,597.1681,177.2424,8245.0814,75.0,0.146,0.82,150
2023,WA,53,1555950.0,9433.18,10461.81,554.0054,167.0065,4650.1475,73.0,0.1366,0.92,151
2023,WA,53,150682.0,9564.26,10476.49,859.4089,193.2046,4146.7924,50.0,0.6237,1.04,152
2023,WA,53,1405268.0,9420.29,10460.36,523.9646,164.4295,4699.6597,76.0,0.0887,0.9,153
2023,WI,55,1341157.0,10415.44,10795.85,633.6888,199.1117,6845.5639,72.0,0.1699,0.96,154
2023,WI,55,147687.0,10933.02,11181.05,1042.8407,233.477,6851.3556,50.0,0.7326,1.15,155
2023,WI,55,1193470.0,10345.73,10743.97,578.5766,194.4827,6844.7837,75.0,0.0941,0.93,156
2023,WV,54,468728.0,11334.02,11150.46,683.1421,248.8705,6279.9338,72.0,0.1999,0.99,157
2023,WV,54,75233.0,10350.15,9922.82,852.8941,233.0222,5417.3574,52.0,0.5889,1.01,158
2023,WV,54,393495.0,11506.9,11366.18,653.3138,251.6553,6431.5036,75.0,0.1315,0.99,159
2023,WY,56,129740.0,9761.15,10716.55,532.1189,167.1573,5065.8205,73.0,0.1019,0.79,160
2023,WY,56,12427.0,10646.22,11559.9,953.9007,213.0024,5510.6383,51.0,0.5369,1.0,161
2023,WY,56,117313.0,9678.63,10637.91,492.7921,162.8827,5024.3459,75.0,0.0614,0.77,162
2023,ZZ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163
2023,ZZ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164
2023,ZZ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165
