Year,rn,n_providers,provider_pct,cumulative_spend_share,rowid
2022,9600,1148873,0.00835601498163853,0.264559403837781,96
2022,9700,1148873,0.00844305680436393,0.265595444184517,97
2022,9800,1148873,0.00853009862708933,0.266623666932299,98
2022,9900,1148873,0.00861714044981473,0.267644387757284,99
2022,10000,1148873,0.00870418227254013,0.268657446801451,100
2022,10100,1148873,0.00879122409526553,0.269662876885322,101
2022,10200,1148873,0.00887826591799093,0.270660684660004,102
2022,10300,1148873,0.00896530774071634,0.271650211543649,103
2022,10400,1148873,0.00905234956344174,0.272632010339353,104
2022,10500,1148873,0.00913939138616714,0.273605953018688,105
2022,10600,1148873,0.00922643320889254,0.274572030588628,106
2022,10700,1148873,0.00931347503161794,0.275530822239584,107
2022,10800,1148873,0.00940051685434334,0.276482617388497,108
2022,10900,1148873,0.00948755867706874,0.277427111552521,109
